id,comment
1,: 推推
2,:  Oricon串流破億 海外女性史上最速
3,:  (24周) 預計3周後被Ditto刷新(18周)
4,: 推
5,: 推！
6,: 這首音源真的很好
7,: 推
8,: abc真的很關注LS的成績XD
9,: 越來越期待回歸了
10,: 所以之前會煩躁是因為他穿著采源造型吧
11,: 超好笑
12,: 他這次回歸收穫滿滿欸XDDD
13,: 他到底為何可以有那麼多欠打的衣服啊
14,: 吐舌頭好到位
15,: 他好適合這種舞蹈XDDDD
16,: 跳得很好
17,: 這次話題度好高XD
18,: 真的很會XD 光芒直接把後面五個蓋掉
19,: 天啊我好想衝破螢幕去前面扁他喔
20,: 但我還是忍不住想看很多遍XD
21,: 他真的打算搜集滿IZONE碎片然後彈指對吧XDD
22,: D
23,: 超會跳 讓人默默地又開始火大XDD
24,: 現在已經有櫻花 采源 珉周 柔理跟員瑛了耶X
25,: DD
26,: 非常生氣但又好好看
27,: 真的是保養的很好，完全不輸年輕人
28,: Copy采源造型。笑死
29,: JYP可以投奔敵營了 XDD
30,: 光衣服就能讓人火大的男人
31,: 吐舌頭那裡真的是痞到很想揍他XDDD
32,: 可是又很想看更多他跳其他團的挑戰XDD
33,: 又想揍又想看哈哈哈哈
34,: 話說他今天這套不是鹹蛋超人嗎
35,: 我我已經分不清是因為衣服讓人火大還是
36,: 單純是因為人XXDDDD
37,: 這個游刃有餘是怎樣XDDDDD
38,: XD
39,: 話說他跟房時赫也有一段過去XD
40,: 服裝想到這個
41,: https://i.imgur.com/f9ujld2.jpg
42,: 韓評沒有火大很煩了嗎? Izone集五位了XD
43,: 采在最後偷跳when we disco XD
44,: 心裡住著女偶像的大叔
45,: 真的是…跳得很好XDD
46,: 跳得太好了 眼神無法從他身上移開
47,: 但又覺得煩煩的XD
48,: 跳得太好了...
49,: 真的是跳得好到令人煩躁！會ㄧ直注意他
50,: 我真的好想揍他喔XD
51,: 跳得超好跟想揍他沒有衝突XD
52,: 真的跳得很好不過有夠討厭的感覺哈
53,: 真的跳的太好了，哇
54,: 忍不住看好幾遍……XDD
55,: 我真的很佩服他,50歲了還可以在這又唱又
56,: 跳的! 真的很厲害~
57,: 台服看他的身材就知道他很克制才有辦法
58,: 維持…但還是很欠揍XD
59,: 真的是跳得很好但令人火大XD
60,: 希望他可以蒐集矮子丸
61,: 想看他跳after like絢爛的手部動作XDD
62,: 乾XD
63,: XDDDDDDDDDDDDDDDD
64,: 看第一次真的目光只放在他身上XD
65,: 看JYP跳舞真的是蠻療癒的
66,: https://i.imgur.com/PYXinZB.jpg
67,: 被JYP的^^和宣美笑死XDD
68,: 超魔性XD莫名吸引人目光是怎樣
69,: 跳太好了覺得煩XDDD 女團舞蹈博士
70,: 無法移開視線XD
71,: 跳得很好和令人火大是不衝突的XDD
72,: 跳得好但是不太舒服哈哈哈
73,: 會忍不住只看他笑死
74,: 哈哈哈
75,: 應該是衣服跟髮型的問題吧？感恩超長的
76,: 手臂好像也有點關係，每次都讓人覺得煩
77,: 躁，哈哈，但還是想點開看，太厲害了
78,: 看到第三次才發現旁邊是成員XD
79,: 真的視線都在他身上好煩XD
80,: 看了莫名的火大，但又想繼續看XDD
81,: 跳超好… 尤其那個吐舌頭超煩躁 XD
82,: 好煩!xDDDD
83,: 完全無法看其他人跳得怎樣 太吸睛了
84,: 請問宣美和JYP對話是什麼呢(不懂韓文QQ
85,: 宣美：明天會是誰呢？JYP:你明天做什麼呢
86,: ？宣美：不行 我很忙
87,: JYP問宣美明天有事嗎?^^ (要邀請feat
88,: 宣美回覆我很忙~ XD
89,: 被宣美笑死XDDDD
90,: 宣美差點就自己挖坑坑自己XDD
91,: 之前宣美只是去PD家吃晚餐 就已經一起
92,: 拍過challenge了XD
93,: 真的佩服 年過半百的JYP到處跟人家拍挑戰
94,: 超會跳，但看了真的令人火大XD
95,: JYP官方YT是不是跟主播拍挑戰? XD
96,: when we disco宣美好像也是莫名被抓去合作
97,: XD
98,: 乾脆也集合wonder girls吧
99,: 宣美對話的標點符號使用才是對話精髓XDD
100,: 幾個點透露出滿滿的不屑感哈哈
101,: 超火大但又跳的好好看XDDDDD
102,: 超火大哈哈哈哈看到那個貓咪手
103,: 好煩但又忍不住repeat
104,: 吐舌頭超級煩XDDD
105,: 好好笑wwwwww
106,: 有趣的是 人歌錄製時JYP粉絲太少
107,: SBS找了工作人員+櫻飯當粉絲在台下應援
108,: JYP下班的時候還是櫻飯送的
109,: JYP走的時候還笑容燦爛 看起來很開心
110,: 所以有些人不要把某些飯的行為當成全體
111,: 幫應援還幫送下班，櫻飯人真好~ >///<
112,: 雖然跳得很好~但也令人火大~XDDDD
113,: 集滿IZ*ONE吧~Nako跟Hitomi也在韓國..
114,: 很火大XDDD
115,: 怎麼這麼可愛XD
116,: 看了好煩 但是忍不住repeat XDD
117,: 跳太好了吧XD真的莫名火大(?
118,: 跳的太好了！但我也莫名有點火大
119,: 好火大喔怎麼跳這麼好XD
120,: 好好看重播好多遍可惡XD
121,: 跳太好了吧哈哈哈
122,: 好看哈哈
123,: 他的屌樣好像在說現在女團的舞都是他玩
124,: 剩的 so easy啦
125,: 元祖女團舞博士XDDDD
126,: 貓貓然竣跟貓貓Haerin，嗚嗚嗚都好
127,: 可愛好會跳
128,: 恩採跟Haerin好可愛 這兩團最愛的成員TT
129,: 可愛T^T
130,: Haerin頭髮飄逸好像動畫人物
131,: 貓貓們跳貓貓舞...可愛死了TT
132,: 貓貓跳貓貓舞 嗚嗚嗚嗚嗚嗚
133,: 貓貓真的好可愛
134,: 貓貓太可愛了
135,: 又是首念經歌 聽完很微妙 不知道之後會
136,: 不會改觀XD
137,: 歌還沒聽，但MV好看，出道曲(?)神作！
138,: ！
139,: 滿喜歡的！整個會期待舞台！！
140,: 這首配舞台應該很燃
