F Rank,F Numbers,F Percent,,F First names,M Rank,M Numbers,M Percent,,M First names
1,2502,0.58%,Sarah,Sarah,1,813,0.19%,Alex,Alex
2,2005,0.46%,Emma,Emma,2,797,0.18%,Thomas,Thomas
3,1968,0.45%,Laura,Laura,3,787,0.18%,david,David
4,1863,0.43%,Chloé,Chloé,4,755,0.17%,Daniel,Daniel
5,1810,0.42%,Marie,Marie,5,678,0.16%,KEVIN,Kevin
6,1637,0.38%,Emily,Emily,6,573,0.13%,Michael,Michael
7,1592,0.37%,Léa,Léa,7,491,0.11%,nicolas,Nicolas
8,1572,0.36%,Camille,Camille,8,480,0.11%,James,James
9,1433,0.33%,Anna,Anna,9,456,0.10%,John,John
10,1403,0.32%,Manon,Manon,10,451,0.10%,lucas,Lucas
11,1375,0.32%,Julie,Julie,11,440,0.10%,anthony,Anthony
12,1274,0.29%,Hannah,Hannah,12,436,0.10%,Julien,Julien
13,1247,0.29%,Jessica,Jessica,13,425,0.10%,Alexandre,Alexandre
14,1088,0.25%,Pauline,Pauline,14,423,0.10%,paul,Paul
15,1067,0.25%,Charlotte,Charlotte,15,414,0.10%,kim,Kim
16,1054,0.24%,Mathilde,Mathilde,16,408,0.09%,Maxime,Maxime
17,1049,0.24%,Kim,Kim,17,406,0.09%,Jack,Jack
18,1045,0.24%,Marine,Marine,18,403,0.09%,Lee,Lee
19,1035,0.24%,Alice,Alice,19,398,0.09%,Eric,Eric
20,1017,0.23%,Sophie,Sophie,20,383,0.09%,Samuel,Samuel
21,1006,0.23%,Julia,Julia,21,372,0.09%,Ryan,Ryan
22,982,0.23%,Lisa,Lisa,22,372,0.09%,nathan,Nathan
23,883,0.20%,Maria,Maria,23,371,0.09%,Antoine,Antoine
24,871,0.20%,Olivia,Olivia,24,370,0.09%,QUENTIN,Quentin
25,850,0.20%,Claire,Claire,25,353,0.08%,Chris,Chris
26,844,0.19%,Sara,Sara,26,352,0.08%,jordan,Jordan
27,837,0.19%,Anaïs,Anaïs,27,350,0.08%,Ben,Ben
28,837,0.19%,lucie,Lucie,28,343,0.08%,jacob,Jacob
29,835,0.19%,Rachel,Rachel,29,342,0.08%,Benjamin,Benjamin
30,811,0.19%,Marion,Marion,30,341,0.08%,Joseph,Joseph
31,797,0.18%,Clara,Clara,31,340,0.08%,Pierre,Pierre
32,795,0.18%,Lauren,Lauren,32,337,0.08%,Dylan,Dylan
33,784,0.18%,Grace,Grace,33,334,0.08%,clement,Clement
34,772,0.18%,Katie,Katie,34,333,0.08%,Jérémy,Jérémy
35,769,0.18%,Melissa,Melissa,35,329,0.08%,Jonathan,Jonathan
36,769,0.18%,victoria,Victoria,36,324,0.07%,Andrew,Andrew
37,759,0.17%,Océane,Océane,37,322,0.07%,Matthew,Matthew
38,755,0.17%,lee,Lee,38,321,0.07%,Tom,Tom
39,753,0.17%,Justine,Justine,39,320,0.07%,romain,Romain
40,745,0.17%,megan,Megan,40,319,0.07%,christian,Christian
41,719,0.17%,Emilie,Emilie,41,316,0.07%,William,William
42,713,0.16%,Eva,Eva,42,315,0.07%,Adam,Adam
43,707,0.16%,Amy,Amy,43,311,0.07%,Emmanuel,Emmanuel
44,703,0.16%,Mélanie,Mélanie,44,309,0.07%,sam,Sam
45,698,0.16%,Caroline,Caroline,45,299,0.07%,Gabriel,Gabriel
46,698,0.16%,Ashley,Ashley,46,293,0.07%,Vincent,Vincent
47,697,0.16%,Audrey,Audrey,47,282,0.06%,Florian,Florian
